osm_type,osm_id,building,name,levels,source_tags,geom_wkt
"way","1368602390","house","","","{""building"":""house""}","POLYGON((-63.1823707 46.2445765,-63.1824339 46.2444563,-63.1821969 46.2443967,-63.1821337 46.2445168,-63.1823707 46.2445765))"
"way","1368602391","house","","","{""building"":""house""}","POLYGON((-63.1819826 46.2444613,-63.1820492 46.2443547,-63.1818085 46.2442828,-63.1817419 46.2443894,-63.1819826 46.2444613))"
"way","1368602392","house","","","{""building"":""house""}","POLYGON((-63.1813856 46.2441072,-63.1812112 46.2439297,-63.1810389 46.2440107,-63.1812133 46.2441882,-63.1813856 46.2441072))"
"way","1368602393","house","","","{""building"":""house""}","POLYGON((-63.1823392 46.2438635,-63.1822539 46.2438003,-63.1822792 46.2437839,-63.1821750 46.2437067,-63.1820370 46.2437958,-63.1821566 46.2438843,-63.1821738 46.2438732,-63.1822437 46.2439251,-63.1823392 46.2438635))"
"way","1368602394","house","","","{""building"":""house""}","POLYGON((-63.1831212 46.2441682,-63.1831642 46.2440861,-63.1830863 46.2440666,-63.1831017 46.2440372,-63.1829609 46.2440019,-63.1829025 46.2441134,-63.1831212 46.2441682))"
"way","1368602317","house","","","{""building"":""house""}","POLYGON((-63.1883287 46.2470725,-63.1882800 46.2469650,-63.1879971 46.2470264,-63.1880452 46.2471322,-63.1881859 46.2471017,-63.1881776 46.2470834,-63.1882289 46.2470723,-63.1882380 46.2470922,-63.1883287 46.2470725))"
"way","1368602318","house","","","{""building"":""house""}","POLYGON((-63.1878548 46.2471762,-63.1878155 46.2470931,-63.1876227 46.2471367,-63.1876620 46.2472198,-63.1878548 46.2471762))"
"way","1368602331","house","","","{""building"":""house""}","POLYGON((-63.1860234 46.2471120,-63.1859636 46.2469904,-63.1859369 46.2469967,-63.1859228 46.2469680,-63.1858558 46.2469838,-63.1858409 46.2469534,-63.1857224 46.2469812,-63.1858111 46.2471619,-63.1860234 46.2471120))"
"way","1368602332","house","","","{""building"":""house""}","POLYGON((-63.1857300 46.2471281,-63.1856760 46.2470149,-63.1854648 46.2470631,-63.1855188 46.2471763,-63.1857300 46.2471281))"
"way","1368602333","house","","","{""building"":""house""}","POLYGON((-63.1854281 46.2471658,-63.1853914 46.2470840,-63.1853112 46.2471012,-63.1853042 46.2470856,-63.1851520 46.2471183,-63.1851957 46.2472157,-63.1854281 46.2471658))"
"way","1368602336","house","","","{""building"":""house""}","POLYGON((-63.1842876 46.2471623,-63.1844372 46.2470582,-63.1843577 46.2470036,-63.1843329 46.2470208,-63.1842609 46.2469713,-63.1841361 46.2470582,-63.1842876 46.2471623))"
"way","1368602337","house","","","{""building"":""house""}","POLYGON((-63.1842611 46.2468682,-63.1841654 46.2467272,-63.1839964 46.2467820,-63.1840920 46.2469230,-63.1842611 46.2468682))"
"way","1368602338","house","","","{""building"":""house""}","POLYGON((-63.1841301 46.2466806,-63.1840623 46.2465112,-63.1838835 46.2465454,-63.1839513 46.2467148,-63.1841301 46.2466806))"
"way","1368602339","house","","","{""building"":""house""}","POLYGON((-63.1840707 46.2464621,-63.1840393 46.2463866,-63.1840059 46.2463933,-63.1839868 46.2463475,-63.1838343 46.2463778,-63.1838847 46.2464991,-63.1840707 46.2464621))"
"way","1368602340","house","","","{""building"":""house""}","POLYGON((-63.1871557 46.2467981,-63.1871083 46.2466791,-63.1870120 46.2466974,-63.1870180 46.2467124,-63.1869660 46.2467223,-63.1869575 46.2467011,-63.1868469 46.2467221,-63.1869123 46.2468865,-63.1870280 46.2468645,-63.1870125 46.2468253,-63.1871557 46.2467981))"
